tau;GEO;GEOvar
0.25;0,00070387125368181;0,000415676639812391;
0.5;0,00011158619756735;0,000232897091659348;
0.75;5,93653725041893E-05;7,26828139975529E-05;
1;4,79720272543483E-05;5,15356090264306E-05;
1.25;3,21258042462725E-05;4,43230044161896E-05;
1.5;6,86768334792375E-05;3,9134533740835E-05;
1.75;0,0024293200562677;5,41979234437876E-05;
2;0,0320748740648533;6,46487331951238E-05;
2.25;0,0821679120857864;0,000126572546031725;
2.5;0,20260828621317;0,00191223850345524;
2.75;0,34786949298093;0,00427446690043513;
3;0,727871761401593;0,0219737977716256;
3.25;0,812252997765274;0,097396467526948;
3.5;0,843998435068819;0,235819521179314;
3.75;1,34463272532448;0,468106492006081;
4;1,15129312641567;0,651128201692348;
